url	download_complete
www.ics.uci.edu/ugrad	complete
www.ics.uci.edu/~emilyo	incomplete
www.ics.uci.edu/~nicolau	incomplete
www.ics.uci.edu/prospective/vi/degrees/software-engineering	incomplete
www.ics.uci.edu/computing/services/msoffice.php	complete
www.stat.uci.edu	incomplete
www.ics.uci.edu/about/search	incomplete
www.ics.uci.edu/computing/contact/staff.php	complete
ngs.ics.uci.edu	incomplete
www.ics.uci.edu/computing/linux/modules.php	complete
sconce.ics.uci.edu	incomplete
www.ics.uci.edu/prospective/zh-tw/opportunities/applied-learning	incomplete
www.ics.uci.edu/~craigga	incomplete
www.ics.uci.edu/community/news/view_news?id=1198	incomplete
www.socsci.uci.edu/~jkrichma/CARL/index.html	incomplete
www.ics.uci.edu/involved/leadership_council	complete
www.ics.uci.edu/prospective/zh-tw/degrees/computer-science-engineering	incomplete
www.artificialbrains.com/darpa-synapse-program	incomplete
netreg.ics.uci.edu	complete
mcs.ics.uci.edu/current-students/resources/policies	incomplete
www.ics.uci.edu/~ohaimson	incomplete
www.ics.uci.edu/~mjcarey	incomplete
mcs.ics.uci.edu/current-students/resources/grad-student-handbook	incomplete
instagram.com/ucibrenics	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=smehrotr	incomplete
www.ics.uci.edu/~bdonyana	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=tanenbaj	incomplete
www.ics.uci.edu/computing/policy	complete
www.ics.uci.edu/statistics/grad/index.php	complete
elms.ics.uci.edu	incomplete
www.ics.uci.edu/computing/services/microsoft_imagine.php	complete
www.ics.uci.edu/prospective/zh-tw/careers/breadth	incomplete
www.ics.uci.edu/prospective/en/degrees/software-engineering	complete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=judithgr	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=bruberg	incomplete
www.ics.uci.edu/~bermanb	incomplete
calendar.ics.uci.edu/calendar.php	incomplete
mcs.ics.uci.edu/advisory-board	incomplete
www.ics.uci.edu/~gbowker	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=standish	incomplete
www.ics.uci.edu/~emj	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=yuzhaoxia	incomplete
ugradforms.ics.uci.edu	incomplete
www.ics.uci.edu/~sbaidya	complete
www.ics.uci.edu/community/news/view_news?id=1249	incomplete
www.ics.uci.edu/~bvegetab	incomplete
www.nasa.gov/researchpark	incomplete
www.ics.uci.edu/community/news/view_news?id=1245	incomplete
www.ics.uci.edu/~jlettner	incomplete
www.ics.uci.edu/computing/account/faqs.php	complete
www.ics.uci.edu/community/news/view_news?id=1246	incomplete
www.ics.uci.edu/community/news/view_news?id=1241	incomplete
www.ics.uci.edu/community/news/view_news?id=1240	incomplete
www.ics.uci.edu/community/news/view_news?id=1243	incomplete
www.ics.uci.edu/community/news/view_news?id=1242	incomplete
www.ics.uci.edu/~stasio	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=hziv	incomplete
www.ics.uci.edu/computing/account/mapdrive_win.php	complete
www.ics.uci.edu/prospective/en/careers/breadth	complete
www.ics.uci.edu/prospective/vi/contact/student-affairs	incomplete
www.ics.uci.edu/~kroher	incomplete
www.ics.uci.edu/community/news/view_news?id=1286	incomplete
www.ics.uci.edu/ugrad/degrees/Minors	complete
www.ics.uci.edu/prospective/zh-tw/uci/campus	incomplete
mhcid.ics.uci.edu/people/current-students	incomplete
mcs.ics.uci.edu/faq	incomplete
www.ics.uci.edu/community/news/view_news?id=1131	incomplete
www.ics.uci.edu/prospective/ko/degrees/informatics	incomplete
www.ics.uci.edu/community/news/view_news?id=1238	incomplete
www.ics.uci.edu/community/news/view_news?id=1239	incomplete
www.ics.uci.edu/~jnnorton	incomplete
www2.clustrmaps.com/user/208110dd8	incomplete
www.ics.uci.edu/community/news/view_news?id=1230	incomplete
www.ics.uci.edu/community/news/view_news?id=1231	incomplete
www.ics.uci.edu/prospective/zh-tw	complete
www.ics.uci.edu/community/news/view_news?id=1233	incomplete
www.ics.uci.edu/community/news/view_news?id=1234	incomplete
www.ics.uci.edu/community/news/view_news?id=1235	incomplete
www.ics.uci.edu/community/news/view_news?id=1236	incomplete
www.ics.uci.edu/community/news/view_news?id=1237	incomplete
www.ics.uci.edu/prospective/en/uci/student-services	incomplete
www.ics.uci.edu/~jseberge	incomplete
www.ics.uci.edu/computing/services/restore.php	complete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=hombao	incomplete
www.ics.uci.edu/computing/services/snapshot.php	complete
www.ics.uci.edu/computing/linux/hosts.php	complete
mcs.ics.uci.edu/contact-us/staff	incomplete
www.ics.uci.edu/grad/funding	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=ddenenbe	incomplete
darpahackfest.com/introduction	incomplete
www.ics.uci.edu/~sjordan	complete
www.ics.uci.edu/prospective/zh-tw/degrees/overview	incomplete
www.ics.uci.edu/prospective/zh-tw/degrees/software-engineering	incomplete
www.ics.uci.edu/ugrad/policies/Grade_Options	complete
www.ics.uci.edu/prospective/en/degrees/informatics	complete
mhcid.ics.uci.edu/people/mhcid-faculty-and-staff	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=wscacchi	incomplete
www.ics.uci.edu/grad	complete
honors.ics.uci.edu	incomplete
www.ics.uci.edu/~hinaa	incomplete
www.ics.uci.edu/~jpd	incomplete
hombao.ics.uci.edu	incomplete
www.ics.uci.edu/~dillenco	incomplete
mcs.ics.uci.edu	incomplete
www.ics.uci.edu/%7Edjr/DebraJRichardson/SE4S.html	complete
www.ics.uci.edu/grad/admissions/index	complete
upload.wikimedia.org/wikipedia/commons/0/07/Hyraxchewing.ogv	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=vminin	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=mizukoi	incomplete
www.civilization.com	incomplete
www.ics.uci.edu/prospective/en/admissions/freshmen	complete
www.ics.uci.edu/~kay	incomplete
www.ics.uci.edu/ugrad/policies/Academic_Standing	complete
www.ics.uci.edu/ugrad/courses/index	complete
www.ics.uci.edu/~dgillen	incomplete
www.ics.uci.edu/computing/network	complete
www.ics.uci.edu/faculty/highlights	complete
www.monash.edu/5icc	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=guoqingx	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=avanderh	incomplete
www.ics.uci.edu/prospective/en/contact/student-affairs	complete
www.ics.uci.edu/computing	incomplete
mcs.ics.uci.edu/contact-us/faculty	incomplete
www.uadv.uci.edu/DonaldBrenSchoolOfICSAnnualGiving	incomplete
futurehealth.ics.uci.edu	incomplete
facebook.com/UCIBrenICS	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=sameer	incomplete
www.ics.uci.edu/community/news/press/view_press?id=122	incomplete
www.ics.uci.edu/ugrad/resources/index	complete
www.ics.uci.edu/~skmahara	incomplete
www.ics.uci.edu/~andre	incomplete
www.ics.uci.edu/community	complete
streetfighter.com	incomplete
www.ics.uci.edu/prospective/vi/admissions/freshmen	incomplete
www.ics.uci.edu/~isaac	incomplete
en.wikipedia.org/wiki/Software-defined_radio	incomplete
www.ics.uci.edu/%7elab/lab_schedule	complete
ucirvine-csm.symplicity.com/index.php/pid700104	incomplete
support.ics.uci.edu/passwd	incomplete
mhcid.ics.uci.edu/program/capstone-projects	incomplete
www.ics.uci.edu/prospective/vi/opportunities/research	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=chenli	incomplete
www.ics.uci.edu/%7eprojects/cert	incomplete
www.ics.uci.edu/~klefstad	incomplete
www.ics.uci.edu/computing/account/new	complete
support.ics.uci.edu/ltb	incomplete
mcs.ics.uci.edu/about/course-descriptions	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=sudderth	incomplete
www.ics.uci.edu/community/events	incomplete
www.ics.uci.edu/prospective/ko/degrees/data-science	incomplete
www.ics.uci.edu/community/news/view_news?id=1183	incomplete
radicle.ics.uci.edu	complete
www.ics.uci.edu/community/news/view_news?id=1229	incomplete
www.ics.uci.edu/grad/admissions	complete
www.darksouls3.com/us	incomplete
www.ics.uci.edu/community/news/view_news?id=1179	incomplete
www.ics.uci.edu/community/news/view_news?id=1178	incomplete
www.ics.uci.edu/community/news/view_news?id=1173	incomplete
www.ics.uci.edu/community/news/view_news?id=1172	incomplete
www.ics.uci.edu/community/news/view_news?id=1171	incomplete
www.ics.uci.edu/community/news/view_news?id=1170	incomplete
www.ics.uci.edu/community/news/view_news?id=1177	incomplete
www.ics.uci.edu/community/news/view_news?id=1176	incomplete
www.ics.uci.edu/community/news/view_news?id=1175	incomplete
www.ics.uci.edu/community/news/view_news?id=1274	incomplete
www.ics.uci.edu/community/news/view_news?id=1275	incomplete
www.ics.uci.edu/community/news/view_news?id=1276	incomplete
www.ics.uci.edu/community/news/view_news?id=1277	incomplete
www.ics.uci.edu/community/news/view_news?id=1270	incomplete
www.ics.uci.edu/about	complete
www.ics.uci.edu/community/news/view_news?id=1272	incomplete
www.ics.uci.edu/community/news/view_news?id=1273	incomplete
www.ics.uci.edu/prospective/en/student-life/diversity	complete
www.ics.uci.edu/community/news/view_news?id=1278	incomplete
www.ics.uci.edu/community/news/view_news?id=1279	incomplete
www.ics.uci.edu/~jsolson	incomplete
www.ics.uci.edu/%7esysarch	incomplete
www.ics.uci.edu/~anamakis	incomplete
embedded.kookmin.ac.kr?p=28	incomplete
